dato,predicciones
sra claudia delgadillo como ciudadana tome cartas en el asunto en la recoleccion de la basura desde el gobierno del ing enrique alfaro vivimos en un chiqueroya no pasan los camiones en horarios establecidos pasan el dia y hora que quieren habra una mafia ,positivo
voto masivo morena,positivo
pues dile al senor de arriba que nos llueva como antes o tambien es culpa de los gobernantes,negativo
vamos al  con morena 1abeboquesi,negativo
ojala hagan algo con el transporte para estas sonas por que parte de caro pesimo servicio y 1 sola ruta de verdad ojala nos integren a su plan estatal xq e oido mucho para sona metropolitana pero nada para aca chequen la ruta sabinosolivoscapilla  ver mas,negativo
contodo el apoyo para claudia delgadillo vamos contodo claudia fuerza fuerza,positivo
queeeee dijo ,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
sigue la 4t,negativo
vamos  con  todo  claudia  arriva morena,negativo
abersi si es  sierto de mc no sirvieron para nada nomas para  robar a los mas nesesitados,negativo
chapala en abandono total x mc,positivo
mujer con valores muchas felicidades a nuestra proxima gobernadora claudia delgadillo,positivo
claudia delgadillo kike y lemus no estan divorciados si no hasta ya van por el primer hijo   saludos claudia exito amiga ,positivo
hola dios la ilumina en su trayecto este ano sera historico,positivo
estamos con usted claudia saludos y que dios me la guarde siempre en todo momento,positivo
vamos con todo mi claudia delgadillo  nadie nos para estamos mas cerca de la meta donde sin duda alguna seras el cambio de la cuarta transformacion en jalisco juntos haciendo historia con la primer mujer gobernadora,positivo
eres increible persona lo digo y lo sostendre siempre que mi dios te permita lograr todos tus objetivos,negativo
asi es la victoria  vamos todos con morena viva claudoa nuestra candidata a gobernadora,positivo
suerte mi futura gobernadora trabajando desde ahora,positivo
mi admiracion respeto y carino,positivo
la mas preparada para ser nuestra gobernadora,negativo
vamos claudia a ganar,negativo
claudia delgadillocomprometida con la gente del estado de jalisco,negativo
es bonito poder verte en estos espacios y conocer mas de ti aunque ya haya tenido el gusto de conocerte en persona,negativo
todo el apoyo con usted y la cuarta transformacion,positivo
saludos desde chapala jalisco unidos haremos historia a bebo que si animo mi proxima gobernadora de jalisco,negativo
viva morena con todo lider mi primera gobernadora,negativo
unidad con claudia  viva morena  viva morena viva el estado mas hermoso de mexico osea mi jalisco querido viva mexico,positivo
usted es una mujer guerrera de lucha que representa firme los ideales de amlo y la transformacion,positivo
saludos,positivo
respuestas sinceras y transparentes propias de una mujer brillante,positivo
amplio reconocimiento a la labor que realizas la verdad mis respetos animo y a seguir adelante,positivo
todo el apoyo para usted,positivo
zapopan con usted,negativo
saludos  claudia en el salto estamos convencidos de que no hay mejor perfil para dirigir nuestro estado que ustedcon su capacidad e ideologia la 4t sera porfin una realidad,positivo
con todo,negativo
que orgullo de ver a una mujer con su capacidad tenacidad y conviccion de servicio,positivo
vamos con claudia,negativo
yo con todo  vamos unidos podemos,positivo
estoy con usted para que sea la primera mujer gobernadora no hay vuelta atras,negativo
esclaudia y esunhonorestarconobrador,negativo
no esta sola mi lider,negativo
primera gobernadora de jalisco,negativo
vamos claudia delgadillo es tiempo de mujeres sidedif contigo,positivo
tu puedes  claudia y estas muy preparada para gobernar jalisco  y mas,negativo
100 morena,positivo
todos con morena no hay de otra la transformacion del estado es inevitable,negativo
mi claudia mi futura gobernadora   vamos con claudia mi gran apoyo,positivo
vamos todas todos con claudia delgadillo,negativo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
apoyo absoluto para lic claudia proxima gobernadora de jalisco,positivo
ame tus respuestas firmes y concretas  definitivamente claudia para gobernadora de jalisco,negativo
eres una gran mujer claudia y estamos contigo claudiapresidenta,negativo
en cada rincon de nuestro estado la apoyamos,positivo
nos da mucho gusto compartir esta encuesta vamos muy bien vamos a cambiar la realidad de jaliscoclaudia delgadillo sergio chavez davalos la apoyo trendelatransformacion claudiax2 claudiasheinbaum tonalaestiempodelasmujeres,positivo
con todo el poder del pueblo mi candidata,negativo
claudia gobernadora  una gran mujer,positivo
vamos con todo,negativo
que padre que nos compartas un poco mas de ti mi proxima gobernadora de jalisco,positivo
claudia delgadillo proxima gobernadora adios lemus,positivo
y tienes una impecable carrera dentro del servicio publico y por eso confiamos en ti,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
quieres ser mi novia hermosura que bella dama eres,positivo
la candidatura de claudia para gobernadora de jalisco representa un paso enorme en la lucha por la equidad de genero,negativo
pame lopez su trabajo es inspirador y abrira nuevos caminos para que las mujeres alcancen su maximo potencial en todos los ambitos de la vida,positivo
me gusta que sus propuestas incluyen medidas para garantizar la igualdad de oportunidades y el acceso a derechos para todas las mujeres del estado,negativo
claudia inspira y motiva a las mujeres a alzar la voz y a ocupar espacios de decision en nuestra sociedad,positivo
claudia mi gobernadora,negativo
como mujer jalisciense me siento orgullosa de tener a claudia delgadillo como candidata a gobernadora,negativo
esto representa un paso adelante en la lucha por la representacion femenina en la politica jalisciense,negativo
estoy segura de que trabajaras duro para construir un futuro mas justo y equitativo para todas,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
claudia delgadillo entiende que el progreso de jalisco depende en gran medida del empoderamiento de las mujeres,negativo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
excelente equipo licenciada gracias por compartirnos ademas del arduo trabajo para se de y llegue la transformacion a jalisco entero bendiciones y estaremos pendientes para el cambio saludos y un fuerte abrazo,positivo
animo saludos y bendiciones,positivo
que bonito que claudia delgadillo comprende muy bien la importancia del papel de las mujeres en la sociedad jalisciense,positivo
pues yo estoy con amlo desde 1996 y mi opinion es que ud no quiere ganar no trae nada de speech lo poco que habla se le va en saludar y agradecer a la gente que la acompana y a los que estan en otro lado no claudia yo no confiaba en lomeli pero v ver mas,positivo
la apoyo claudiadelgadillogobernadora amloelmejorpresidente megaalinza claudiasheinbaumpresidenta2024 danielgarciacoordinadordetemaseducativos,positivo
vamos juntas y juntos hasta lograr que la igualdad sea una costumbre  claudiax2,positivo
no se confie como parece claudia trae ud su corazon guinda no se gana solo con ser de morena comprometase,positivo
habra gobernadora en jalisco y cambiara de color viva la 4 t,positivo
viva la dra claudia sheinbaum presidenta de mexico 2024 viva claudia delgadillo gobernadora de jalisco 2024 y vivan todas y todos los mexicanosclaudiapresidenta claudiadelgadillogobernadora,positivo
las claudias ganaron y ganaran ,negativo
viva morena,negativo
se te extiende la invitacion al programa que se trasmite en 4 plataformaspolitica a calzon quitao bandido tv la ruta del poder y tintero politicoatt bandido ver mas,positivo
asi sera vien dicho y todos es peramos el camvio berdadero que claudia delgadillo y la doctora claudia estan lo grandon yo de creto que asisera y ellas governaran,negativo
todos con la elegancia hecha mujer nuestra proxima gobernadora,positivo
claudia delgadillo gobernadora,negativo
al millon claudia shaibaum presidenta,positivo
y eso  que ,negativo
vamos por las dos claudias ,negativo
morena,negativo
arriva mis dos claudias,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
con dios todo es posiblebendiciones,positivo
claudia gobernadora arriba morena carcel a pablo lemus,negativo
fuera  morena de jalisco era prillista,negativo
mi candidata bonita y respetable,negativo
viva morena viva amlo viva la 4 t viva claudia delgadillo viva morena jalisco es morena,positivo
vamos por las 2 claudia,negativo
vamos con todo con morena,negativo
son tal para cual vamos con pablo lemus,negativo
ya viene por su casa azul tambien   pura rabadera salieron peor que los otrosen un partido emgana boboslos acarreados se dan con 500 pesos mientras ellas se despachal con la cuchara grande todo el dinero del pueblo,negativo
claudia sera gobernadora de jalisco,negativo
claro q si apoyemos juntos x morena,negativo
todo jalisco con morena,negativo
la apoyo la apoyo,positivo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
claudia delgadillo proxima gobernadora de jalisco,negativo
alfonso ruiz luce jajajaja,negativo
juan ibarra asi te quiero ver el 2 de junio,negativo
alfonso ruiz luce a mi me vale quien gane todos son corruptos y shimbaum no se salva a la otra mi la conozco,negativo
vamos claudias,negativo
claudiasheinbaumpresidenta2024 claudiadelgadillogobernadora la apoyo,positivo
viva la dra claudia sheinbaum presidenta de mexico 2024 viva claudia delgadillo gobernadora de jalisco 2024claudiapresidentaclaudiadelgadillogobernadora,positivo
vivan las claudias esto es algo historico cuantas coincidencias mujeres fuertes aportan bienestar a la sociedad incansable yo llevo tu mensaje a quien aun no te conoce voto masivo por morena para seguir construyendo una sociedad mas equitativa y mas oportunidades,positivo
vamos contigo claudia es cierto yo tube a mis hijas y es mucha ayuda excelente trabajoen conjunto de la presidencia viva el desarrollo social pensar en todos incluir y educar ojala se logre,positivo
le mando un fuerte abrazo desde atotonilco el alto jalisco vamos x esa gobernatura claudia delgadillo,positivo
yo no tengo hijos pero me da gusto que apoyen a las familias y a las personas mayores 4t y plan c,negativo
vamos claudia,negativo
esto para las mujeres travajadoras es fantastico pero no todas van a tener la confiansa sufisiente en esas estitusiones que dejan micho que desear es conveniente tener gente espirimentada para eso y que mas que las propias mamas para aserlo claro con u ver mas,negativo
para prepa tambien,negativo
que se siente   estar frente a claudia delgadillo una de tantas  complice de de enrique pena nieto ex presidente de mexico,negativo
excelentei informacion presidenta  unica  de la ciudad de mexico doctora claudia sheinbaum y gobernadora unica de guadalajara jalisco claudia delgadillo cadadia nos sorprenden mas quesera cuendo lla esten governando guauuuuu,positivo
vamos con las tocallas vamos a ganar en mexico y jalisco,positivo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
